Titulo,Descricao
Líder Administrativo - Recepções - Vila Nova Star,"Descrição
Requisitos:
- Formação Superior completa ou cursando como diferencial; 
- Pacote Office Intermediário; 
- Conhecimento em Gestão de Equipe; 
 
Atividades: 
- Acompanhar e Orientar a Equipe; 
- Providenciar e acompanhar o cumprimento das rotinas; 
- Realizar solicitação de estoque de materiais; 
- Participação e análise dos processos; 
- Rever processos realizados; 
- Elaborar escala dos colaboradores; 
- Gestão de ponto; 
- Ter interface com diretores, médicos e paciente, visando o suporte necessário;
 
Outras informações:
- Local de trabalho: Zona Sul 
- Escala de trabalho: 220 CONF ESC 13:40 16:00 17:00 22:00 
- Disponibilidade para treinamento."
Analista de Suporte Acadêmico – Coordenação da Graduação em Administração,"Descrição
Descrição: Atividade principal: Apoio acadêmicoATIVIDADES:Auxiliar nas atividades operacionais e administrativas do programa, que incluem: Acompanhamento do calendário acadêmico e grade curricular do programa. Organização de arquivo; elaboração de editais de monitoria; realização de processos seletivos e apoio na captação de alunos; elaboração dos relatórios gerenciais; divulgações, produção de material e documentos (manuais, ofícios, regulamentos) em português e inglês. Relacionamento com os alunos, professores e outros setores da FGV-EBAPE e da FGV; entre outras atividades.Idiomas:Inglês - Nível AvançadoOutros requisitos: PERFIL/REQUISITOS:Formação: Superior completo nas áreas de Administração, Biblioteconomia, Pedagogia, Letras, Comunicação, Relações Internacionais, Ciências Sociais, Marketing e afins; Competências técnicas: boa comunicação oral e escrita; boa redação; inglês avançado (falado e escrito – fluência será um diferencial); domínio do pacote Office; Competências comportamentais: Ser proativo, ter boa relação Interpessoal, boa escrita, iniciativa, organização e estar sempre atualizado. Desejável Experiência em cargos administrativos em Instituições de Ensino;"
Assistente Administrativo - Autorização - Oncologia D'Or RJ,"Description
Requisitos: 
- Formação: Nível Médio Completo;
- Sólida experiência com processos de autorização de exames e procedimentos junto aos convênios (operadoras de saúde);
 -Informática - Pacote Office: nível intermediário;
- Experiência anterior comprovada em rotinas administrativas na área da saúde (Clínicas, Consultórios ou Hospitais);
- Disponibilidade para cobertura de ausências eventuais nas demais Unidades pelo Rio de Janeiro.
 
Principais atividades:
- Controlar e inputar as solicitações de novos tratamentos através do sistema;
- Solicitar aos convênios autorizações para liberação dos tratamentos;
- Seguir os procedimentos conforme a particularidade de cada convênio e demais rotinas administrativas relacionadas ao setor.
 
Local de trabalho: Botafogo - RJ (Podendo ser convocado para atuar nas demais Clínicas pela cidade do Rio de Janeiro);
Escala de trabalho: comercial - de segunda a sexta-feira: 08h às 18h."
Assistente Administrativo - São Caetano do Sul / SP,"Descrição
Descrição: Acreditamos que a diversidade favorece o ambiente inovador! Estamos de portas abertas para pessoas com desejo de transformação pelo trabalho e dispostas a contribuir para o crescimento e evolução da empresa. Na Ipiranga, competência não tem gênero, raça. orientação afetiva-sexual, idade ou condição física. Seja quem for seja você.Tropical TransportesA empresa de transportes da Ipiranga, a Tropical Transportes, atua em todo território nacional, atendendo também a outros clientes. Aqui, você tem um resumo das características que fazem da Tropical Transportes uma das melhores transportadoras do seu segmento.Já pensou em trabalhar na Ipiranga?Na Ipiranga acreditamos que pessoas com brilho nos olhos, autênticas e engajadas são nosso diferencial competitivo! Atuamos com paixão e propósito, colocando o cliente no centro das nossas decisões. Valorizamos a autonomia, a abertura e a transparência, pois temos certo de que a verdade e o respeito fortalecem relações e geram confiança. Proporcionamos para nosso time um ambiente flexível, de colaboração e bem-estar para plena realização pessoal e profissional.Nossa missão é “Inspirar a sociedade a evoluir, com nossa paixão por facilitar a vida e a mobilidade das pessoas”Quais serão suas responsabilidades e desafios?-Preenchimento dos indicadores;-Apoio à Supervisão nas rotinas administrativas;-Emissão de notas fiscais;-Montagem do protocolo de carregamento;-Análise de ocorrências na entrega (falta, sobra, inversão, avarias);-Garantir a sequência de carregamentos;-Controle e compra de materiais de escritório.O que você precisa ter para conquista essa posição?-Superior completo ou cursando;-Conhecimento de Excel intermediário/ Avançado;-Disponibilidade para trabalhar finais de semana por escala;-Experiência em Faturamento e NF;-Senso de urgência-Percepção de segurança.O que vai te dar uns pontos a mais e te colocar na frente?-Noções em logística; O que a gente espera de você?Pensamento orientado com foco no cliente #OClienteéaRazãoMindset ágil, que se adapta rápido à mudança #LevezaFoco em soluções e resolução de problemas #SuaVozTemValorIniciativa, protagonismo e sentimento de dono #DeixaComigoPaixão, brilho nos olhos e autenticidade #SejaVocê!Respeito à diversidade #ValeaPenaE aí, topa o desafio? Então se candidata nessa vaga e não deixa essa oportunidade para depois!"
Gerente de Filial - Cachoeira do Sul - RS,"Descrição
Descrição: - Responsável pelo cumprimento das metas de venda da loja sob sua responsabilidade;- Participação na elaboração das diretrizes, normas e procedimentos, administração e organização da loja, orientação, formação e desenvolvimento de equipes;- Incentivo para atingimento das metas e acompanhamento dos resultados, visando atingir as metas de vendas;- Avaliar cenários para estabelecer melhores estratégias para atingimento de resultados.- Habilidade para discernir causa e efeito nos processos, visando a elaboração de planos de ação.Outros requisitos: - Ensino Superior completo- Administração; Técnico em vendas; Gestão de pessoas e áreas afins"
Técnico Administrativo - Santa Maria/ Rs,"Descrição
Descrição: Atividades:
Suporte nas rotinas administrativas.
Controle e organização de documentos e epi's.
Responsável pela abertura das ordem de serviços.
Envio dos check list e lançamento de dados no sistema.
Atendimento e apoio aos colaboradores internos.
Responsável pelo controle de indicadores da coordenação.
Responsável pela montagem de apresentações para gerencia e coordenação.
Interface constante com chão de fábrica e lançamento no sistema SAP.
Requisitos Obrigatórios:
Formação Técnica em Mecânica, Administração ou afins;
Pacote office Intermediário
Requisitos Desejáveis:
Superior Cursando
Conhecimento em Power BI
Conhecimento em Sistema SAP.
Horário de Trabalho:Disponibilidade para trabalhar em escala com revezamento.Local: Santa Maria/ RS"
Finance Analyst And Sales Admin Support,"Descrição
Descrição: This role will be responsible for supporting the Finance Coordinator with the administrative activities and financial support work, also partnering with the sales team. Such as accounts payable, vendor relationships, accounting or treasury reporting, and other duties as assigned to provide general organizational support.The Finance and Sales Admin Support will be responsible for: Accounts payable and Accounts receivable activities
Bank conciliation and other financial reports;
Month end reporting support;
Expenses report routine support;
Order to Cash activities (Billing requests, invoicing, collecting, etc);
Organize files such as Vendors and Costumers Agreements, Legal, accounting and financial documents;
Take care of office facilities;
Monitor and order supplies .
Skills, Education and Experience

Bachelor Degree on going in areas like Business Administration, Financial, Economics, and others;
Must have strong verbal and written communications skills (English and Portuguese);
Proeficient in MS Office  (Word, excel e PowerPoint, Outlook);
Strong experience in financial reports, and accountability will be appreciated.
Idiomas:Inglês - Nível AvançadoOutros requisitos: Competencies
Hands on;
Analytical and problem solving skills;
Effective decision making skills;
Attention to detail and high level of accuracy;
Time management skills;
High teamwork and interpersonal skills;
High ability and attitude to learn, absorb and apply new knowledge;
Ease and flexibility for constant changes;
Self-management and Initiative;
Sense of ownership and commitment."
Gerente de Projetos - RH (global Mobility),"Descrição
Descrição: Como Gerente de Projetos, você será responsável desde o desenvolvimento até a execução do programa APA Mobility, entregando, capacitando e gerenciando a implementação do programa. Você trabalhará como parte de uma pequena equipe ajudando a empresa a fornecer um programa de mobilidade que atenderá às nossas necessidades de negócios e promoverá oportunidades de desenvolvimento de talentos dentro da região da APA.Responsabilidades específicas incluem, mas não se limitam a:- Definir os planos de implementação e comunicação detalhados e o cronograma para a entrega do programa- Habilitar a entrega do projeto com base no plano de implementação & comunicação- Interagir com stakeholders (Líderes globais de mobilidade, profissionais do HC) em diversos territórios para fornecer suporte à implementação- Responsável pela gestão diária do projeto, ao mesmo tempo em que se reporta ao Gerente Sênior de APA do HC- Coordenar o processo de correspondência de habilidades e demandas em todos os territórios- Definir a estratégia e os territórios de apoio no processo seletivo para as atribuições- Acompanhamento do progresso das atribuições contra a matriz de talentos- Reportar atualizações e status à Liderança da APA HC- Estar envolvido na gestão financeira do projeto- Monitorar e relatar riscos e problemas associados à entrega do projeto e criar planos de mitigação para enfrentá-losIdiomas:Inglês - Nível AvançadoOutros requisitos: ✓ Ter atuado em projetos que envolvam quantidade considerável de stakeholders.✓ Uma mentalidade que desafia ao invés de simplesmente entender e aceitar✓ Capacidade de integrar bem em uma equipe e construir relacionamentos bem com as principais partes interessadas✓ Capacidade de aplicar uma abordagem lógica e analítica ao trabalho, acompanhamento das finanças e com foco na qualidade✓ Tecnicamente competente com software, incluindo, mas não se limitando ao Google G-Suite e Microsoft Office (Word, Excel, PowerPoint"
Gerente de Loja - Shopping Pátio Belém - PA,"Descrição
Você já pensou em trabalhar em uma empresa que se preocupa com a sustentabilidade?  Você gosta de criar relações, desenvolver equipe e de gerar boas experiências? Você já se imaginou em um lugar que valoriza a diversidade? Você gosta de perfumes, cosméticos e maquiagem? Se você respondeu sim para todas essas perguntas, estamos procurando VOCÊ!Isso é a NATURA!Atualmente temos mais de 50 lojas abertas em todo Brasil e levamos nossa brasilidade para 10 países! O varejo é um canal que gera experimentação dos diversos produtos e estabelece relações entre a Natura e nossos clientes.VIVA SUA BELEZA e venha trabalhar conosco!
Gerente de loja - Shopping Pátio Belém - PA
O que estamos buscando? 
Alguém com experiência em gestão de time e de operação. Que valorize o desenvolvimento de pessoas e que acredite que a diversidade gera valor.
Quais são as principais Responsabilidades:
Você é o maior representante da Natura para o consumidor e para o seu time. É o embaixador da marca! O seu desafio cuidar da loja e da equipe com zelo e atenção em todos os processos. Fidelizar nossos clientes e aumentar o número de consumidores da marca. Conectar-se com nossos valores irá garantir que você ofereça uma experiência diferenciada para o cliente e para sua equipe
 Quem é a pessoa?
 _mão na massa, proativa e colaborativa 
_perfil multiplicador de conhecimento
_protagonista e determinada
_flexível e adaptável
_engajada pela busca da diversidade e multiculturalidade
 O que precisa ter?
_Ensino Superior Cursando ou Concluído
_Vivência com Gestão de pessoas
_Desejável conhecimento em atendimento consultivo
Quais são os benefícios?
_Vale Refeição
_Vale Transporte
_Assistência médica + odontológica + seguro de vida
 _Vale-presente Natura no seu aniversário
_Produtos Natura com 40% off. (calma! são 10 por mês)
Local de trabalho: Shopping Pátio Belém - PA"
Assistente Administrativo - Vendas - Filial Curitiba / PR,"Descrição
A SEW-EURODRIVE BRASIL está identificando profissionais interessados em concorrer à vaga acima para atuar na área Comercial com base em Curitiba/PR.   Requisitos:  - Ensino Técnico completo ou Superior cursando em Mecânica, Mecatrônica ou Eletrônica;  - Experiência anterior na área comercial no segmento industrial;  - Pacote Office. 
Disponibilidade para atuar em Curitiba/PR.   Desejável:   - Conhecimento Sistema Integrado SAP.   Responsabilidades:
- Suporte aos vendedores internos na elaboração de orçamentos e lançamento de pedidos no sistema SAP, bem como, follow-up interno para assegurar o prazo de entrega conforme acordado com os clientes.  Benefícios:   - Assistência Médica; - Assistência Odontológica; - Seguro de Vida; - Cartão Alimentação; - Cesta de Natal; - Refeição; - Transporte; - Programa de Treinamentos Internos.   Remuneração: competitiva ao mercado e composta por salário base e PPR (Programa de Participação de Resultados) pago anualmente."
Auxiliar Administrativo Pcd - Duque de Caxias RJ,"Descrição
Descrição: Executar tarefas administrativas de forma sistêmica e assistida através das instruções recebidas. Colaborar com a área e/ou equipe, contribuindo para agilização dos serviçosAtribuições Essenciais:
Atender a clientes (telefônico / e mails).
Encaminhar solicitações de ASOs para colaboradores.
Preparar arquivo de processos e documentação pessoal
Monitorar o Web Ponto do efetivo do contrato
Gerar informações relativas às suas atividades com base em modelos disponíveis.
Contatos com clientes e prestadores de serviços.
Recebimento e abertura de ordens de serviço.
Atender e encaminhar as solicitações para processos de admissão e demissão.
Digitar, imprimir, emitir e conferir, quando aplicável, relatórios e/ou certificados.
Pedido de nota fiscal.
Auxiliar na logística dos colaboradores.
Outros requisitos: Ensino médio completo"
Analista de Informação Gerencial - São Paulo/sp,"Descrição
Descrição: A Global Hitss é uma multinacional do grupo América Móvil, atuando há mais de 30 anos no mercado de soluções digitais e serviços de TI em 9 países. Combinando experiência incomparável e habilidades especializadas, nossos mais de 4.300 colaboradores estão engajados em fazer o novo todos os dias. Apostamos em inovação com integridade e buscamos desenvolver soluções inclusivas, responsáveis e sustentáveis para atender nossos funcionários e clientes. Por meio do pilar de diversidade e inclusão, todos têm oportunidades iguais de construir sua carreira. Não fazemos distinção de gênero, religião, raça, orientação sexual, posição social e deficiência.Se você gosta de desafios, tendências, processos ágeis e inovadores, seu lugar é aqui.Junte-se a nós!Requisitos necessários:
Nível superior cursando ou completo;
Conhecimento e experiência em banco de dados (estruturação de banco e querys);
Conhecimento e experiência intermediário/avançado em Excel;
Noções de tratamento de bases, desenvolvimento e manutenção de indicadores;
Mensuração e/ou comparativos de resultados.
Principais atribuições:Vaga para atuar com criação/manutenção de Relatórios, KPI's e Dashboards nas ferramentas (Excel, Metabase e PowerBI).Local de trabalho:São Paulo/SP – Bela Vista | Modelo presencial | Escala 5x2 | Horário: 9h às 18hOutros requisitos:"
Auxiliar Administrativo - Diversos setores - Oeste D'Or,"Descrição
Requisitos:
- Ensino médio completo;
- Conhecimento de informática, conhecimento de rotinas admistrativos;
 
Atividades: 
- Organizar a rotina administrativa dos setores, a fim de atender aos prazos de entrega pré-estabelecidos, de acordo com os conhecimentos técnicos e as normas da Instituição, sob a luz do Código de Ética.
 
Outras informações:
- Campo Grande - Rio de Janeiro;
- Escala 5x2 seg a qui 08:00 às 18:00 e sex 08:00 às 17:00;
- Disponibilidade para treinamento."
Auxiliar Administrativo - SADT Radiologia - Hospital Aliança,"Descrição
Requisitos:
- Ensino Médio Completo;
- Experiência com rotinas administrativas, fechamento de contas médicas de exames/ procedimentos e autorização de convênios;
 
Atividades: 
- Realizar fechamento de contas de exames e procedimentos, correção de erros e contato com convênios e faturamento afim de garantir agilidade no ciclo de receita, sob a supervisão dos líderes da área, de acordo com as normas da instituição, sob a luz do código de ética.
 
Outras informações:
- Local de trabalho: Hospital Aliança, Salvador -BA
- Escala de trabalho: Regime Administrativo."
Especialista Expansão de Obras - Gestão de projetos - Alphaville,"Descrição
Requisitos:
- Formação: ARQUITETO ou ENGENHEIRO CIVIL;
- Registro em conselho ou certificações específicas Ativo;
- Experiência prévia na área de gestão e coordenação de projetos na área hospital (preferencialmente).
 Atividades: 
- Interface com equipe de operação dos hospitais, conhecimento de novas tecnologias construtivas, posição de gestão, responsável pela coordenação de equipe multidisciplinar de projetos, respeitando as normas e procedimentos, aplicação de novos projetos, entre outras atividades.
Outras informações:
- Local de trabalho: Unidades de SP - DISPONIBILIDADE PARA VIAGENS.
- Escala de trabalho: 2° a 6° - 08h00 as 18h00.
- Disponibilidade para treinamento - manhã"
"Bolsista Graduado - [engenharias, Economia, Administração, Marketing]","Descrição
Descrição: Projeto de inovação em parceria com IEL/CNPq.PRÉ-REQUISITOS: Graduado em Engenharias, Economia, Administração, Marketing.TEMA DO PROJETO: Desenvolvimento de nova tecnologia e modelo de negócio para medição de nível de gás.ATIVIDADES:- Garantir a prospecção de clientes e instalação dos dispositivos através de canais digitais para andamento dos pilotos.- Apoiar na construção e realização de pesquisas e entrevistas de validação com os clientes.- Acompanhar o desempenho da solução por meio da criação e monitoramento de indicadores chave, como: vendas, receita, volume, NPS e recorrência de compra.- Apoiar na definição e validação do novo modelo de negócio para viabilidade e escalabilidade da solução.CONHECIMENTOS NECESSÁRIOS:- Conhecimento em experiência/jornada do consumidor.CONHECIMENTOS DESEJÁVEL:- Conhecimento em metodologia ágil (Scrum/Kanban).- Criação de indicadores chave, gestão e monitoramento de resultados em clientes.CONHECIMENTOS DIFERENCIAIS:- Participado no desenvolvimento de algum projeto de empresa jr. ou outro programa. .IDIOMA: Inglês intermediário (Diferencial)VALOR DA BOLSA: R$ 2.500,00Disponibilidade de até 40 horas semanaisDURAÇÃO: 12 mesesLOCAL: Atuação presencialConheça o INOVA TALENTOShttps://vimeo.com/676464243/165a0bf5f5https://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91dIdiomas:Inglês - Nível Intermediário"
Banco de Talentos (pessoas com Deficiência) - Cargos Administrativos,"Descrição
Descrição: Muito prazer, somos a BP.Para começar, gostaríamos de fazer um convite: vem valorizar a vida com a gente.É isso que nos move todo dia. É isso que a gente vai fazer juntos. A BP – A Beneficência Portuguesa de São Paulo tem uma linda trajetória de 160 anos, marcada por transformações que trazem cada vez mais o nosso olhar único para a saúde, com muita colaboração, inclusão e tecnologia. Pra isso tudo não ficar só no discurso e ir pra prática de verdade, contamos com mais de 7.000 colaboradores e 3.000 médicos que simbolizam o cuidado da BP com a saúde.Atendemos mais de 1,8 milhão de pessoas por ano, sendo referência no atendimento médico-hospitalar em diversas especialidades, como Cardiologia, Oncologia e Neurologia, entre outras. https://www.bp.org.br/unidade-paulistaBanco de Talentos- (pessoas com Deficiência) - Cargos AdministrativosBanco de Vagas - Cargos da área Administrativa.Qual perfil que buscamos?Buscamos profissionais que sejam empáticos para acolher clientes e colaboradores no dia a dia. Tenham iniciativa em suas ações e vejam valor em um trabalho colaborativo com foco no resultado.Para essa vaga, é essencial ter:Superior Completo em Administração, Economia entre outras áreas correlatas.Experiência na area.Carga Horária e Local:Segunda a Quinta, das 08h as 18h e Sexta das 08h as 17hsBP Paulista - Bella Vista (Próximo a estação Vergueiro do metrô)O que oferecemos?• Vale-transporte• Vale-alimentação• Assistência Médica• Assistência Odontológica• Viva 365: Ações e programas no âmbito das 5 saúdes - emocional, intelectual, físico, social e financeiro. Tais como:PAP (Programa de Apoio Pessoal)- canal de comunicação formado por uma ampla equipe de especialistas (psicólogos, assistentes sociais, advogados, pedagogos, nutricionistas, fisioterapeutas, educadores físicos, consultores financeiros e pet consultores).Núcleo de Saúde do Colaborador- serviço de telemedicina, pronto atendimento e agendamentos exclusivo para colaboradores com médicos generalistas, psicólogos, fisioterapeutas e acupuntura dentro da BP.Excelente porque somos plurais! Somos mais de 7000 colaboradores e aqui levamos a sério a diversidade. Cada pessoa que compõe a BP tem uma história de vida, uma trajetória, uma visão de mundo. E ao somarmos essas visões, vemos os desafios que temos de outros ângulos trazendo novas respostas para as velhas perguntas, e ajudando a fazer novas perguntas. É dessa forma que a inovação está sempre presente, de uma forma prática, funcional e que melhora a vida das pessoas. E assim vamos engrandecendo o nosso jeito de ser BP.Se identificou?Estamos empolgados pra contar com você na BP! #VemSerBPQuer saber mais sobre nós? Acesse nossas redes:Linkedin;Facebook /bporgbr;Instagram."
Estágio de Administração / Eng. Produção - Macaé RJ,"Descrição
Requisitos:
• Cursando Superior em Administração / Engenharia de Produção entre o 4º e 6º períodos;• Disponibilidade para estagiar 6h/dia (manhã e tarde);• Conhecimento em Pacote Office intermediário, inclusive excel.  Atividades:
• Atualização de apresentações e materiais didáticos em power point;• Formatação de documentos;• Elaboração de controles e indicadores em excel e atualização de informações em sistemas.
 Oferecemos:   • Bolsa auxilio • Benefícios:  Vale transporte; Vale refeição; Assistência odontológica.  ""Vaga destinada também para pessoas com deficiência conforme lei 8.231/91."""
Mensageiro - Gestão Governança - São Caetano do Sul,"Descrição
Requisitos:
- Formação: Ensino médio completo;
- Experiência de 6 meses.
 
Atividades: 
- Efetuar atividades internas/externas de distribuição e retirada de correspondências diversas e documentos em geral, encaminhar paciente até o quarto na internação, realizar pequenas compras e pagamentos operar máquina copiadora e auxiliar nas atividades de escritório. 
 
Outras informações:
- Local de trabalho: Hospital e Maternidade São Luiz São Caetano;
- Escala de trabalho: (6x1) - 06h às 14h20;
- Disponibilidade para treinamento."
Assistente Administrativo Jr. para Área Jurídica (PCD),"Descrição
Atividades: gerenciar todas as atividades financeiras relacionadas ao departamento jurídico; efetuar pagamentos, reembolsos e quitar pedidos no Sistema BLDSP; atualizar checklist completo relacionado a processos trabalhistas; lançar pedidos de pagamento em aberto (PR) no sistema e-buy; aplicar pagamentos nos sistemas APWF e e-buy; enviar previsões semanais e mensais para o departamento financeiro; e, gerenciar saldo de PO no sistema de e-buy.
 Requisitos:
 Graduação completa em Direito (preferência); ou graduação completa em Administração com vivência anterior em área jurídica e/ou com conhecimentos sobre a linguagem jurídica.
 Excel intermediário (tabela dinâmica)
Idiomas: Inglês intermediário para conversação.
Local de trabalho:  São Paulo/SPModelo de trabalho: 100% presencialHorário de trabalho: segunda a sexta-feira das 09h às 18h com 1h de almoço.
Benefícios: VR ou VA R$35,19/dia com desconto de R$1,00 na fopag / AM Bradesco com co-participação de 10% para exames simples / AO Bradesco sem desconto para o titular / SV / VT sem desconto.
Salário: compatível com mercado."
Gerente de Vendas / Loja - Polo Wear ( Inauguração),"Descrição
Missão do Cargo:
Atuar na gestão de loja, controlar e garantir o cumprimento dos processos e alcance das metas, através do desenvolvimento das pessoas e com foco no encantamento ao cliente.
Atividades:

Acompanhar relatório de vendas, engajar a equipe para o atingimento de resultados, apresentar metas individuais e meta coletiva da equipe;
Analisar a abordagem e relacionamento da equipe de loja com o cliente, garantindo a efetividade do atendimento;
Acompanhar e zelar pela arrumação e organização do estoque e salão de vendas;
Liderar e desenvolver a equipe de loja para o crescimento profissional e atendimento de alta performance;
Recrutar e selecionar candidatos e garantir o quadro de loja;
Realizar abertura/fechamento da loja, conferindo caixa e todas as área de loja.

Requisitos:

Experiência anterior em cargos de liderança em lojas;
Ter atuado no segmento de varejo de vestuário;
Preferencialmente, ter superior completo ou cursando."
Auxiliar de Logística (cnh a   Moto)   Nome Interno,"Descrição
Descrição: SOBRE A STONE
Somos muito mais do que uma empresa de maquininhas!
Atuamos na indústria de pagamentos desde 2012, lutando para servir o nosso cliente e provar que há uma maneira mais justa, pessoal e inteligente de fazer negócio.
Estamos crescendo em um ritmo forte e assumimos desafios cada vez maiores e mais difíceis. Queremos nos tornar os melhores em serviços aos clientes e construir um negócio grande: em receita, colaboradores e pessoas impactadas.
Para isso, contamos com grande liberdade e pessoas boas ao nosso lado, em um ambiente dinâmico e informal em que todos se falam e se ajudam. Unimos experiência e agilidade para criar um jeito diferente de fazer negócio. Aqui, você é quem define o seu crescimento e o tamanho das suas conquistas, e é recompensado de forma justa por elas.
DESCRIÇÃO DA VAGA
A Logística é um ponto-chave na nossa missão de encantar o cliente. Quem carrega essa responsabilidade é o nosso time que ganhou as ruas para pintar o Brasil de verde: os Green Angels.
Ser um Green Angel significa ENCANTAR OS NOSSOS CLIENTES, fazer as maquininhas chegarem no balcão o mais rápido possível, oferecer treinamento ao dono do negócio e uma solução rápida aos contratempos menores.
Tudo isso é realizado com integridade, paixão e Segurança. Esse último, porque nada para a Logística da Stone está acima da vida e o bem-estar das nossas pessoas. Temos uma cultura de Segurança forte e que nos ampara nas decisões que tomamos em relação a nossa operação. O Green Angel tem que ser uma pessoa engajada com o assunto e, acima de tudo, um replicador dessa cultura no trânsito. Afinal, não é só o mercado de pagamentos que nós queremos mudar!
DIA A DIA DOS GREEN ANGELS
#Rotina
Externa - Sua atividade principal é atender os nossos clientes de maneira externa dentro da cidade e nas regiões de abrangência e ajudá-los na inicialização e utilização correta dos produtos que contratou conosco. Ou seja, na maior parte do seu dia, você estará atendendo a nossa Razão ;)
Interna - Você também será o responsável da logística naquele local realizando atividades dentro do escritório que temos na cidade. Nesse escritório, somos responsáveis pela gestão do estoque realizando o recebimento de ativos, logística reversa e triagem dos equipamentos, organização e inventários periódicos do estoque.
#Resultado 
Somos movidos por resultados e metas. Acreditamos nas pessoas por trás dos números, mas somos apaixonados por desafios e, mais ainda, por superá-los. No fim do dia, os números nos ajudam a avaliar nosso desenvolvimento como companhia.
#Responsabilidades
A Stone só existe para servir o empreendedor Brasileiro. Portanto, estamos sempre em constante mudança, procurando novos produtos e serviços para atender nossa razão, o cliente. O Green Angel é parte fundamental nesse trabalho, pois é responsável por ofertar, ensinar e auxiliar o cliente na ativação dessas ferramentas.
#Segurança
Para garantir a nossa segurança e a de terceiros, trabalhamos seguindo à risca as regras e leis de trânsito com indicadores que nos orientam a mapear ocorrências durante o dia a dia e melhorar sempre. Falamos no mínimo duas vezes por semana sobre segurança, e tudo isso nos ajuda a garantir que retornaremos seguros para casa todos os dias após a nossa jornada.
INFORMAÇÕES ADICIONAIS:
Pacote de Remuneração:
•	Salário Fixo + Remuneração Variável por performance;
•	30% de adicional por periculosidade, apenas em caso de uso de motocicleta;
•	Plano de Saúde e Odontológico – Bradesco Saúde (titular + 2 dependentes);
•	Vale Refeição + Vale Alimentação - Sodexo;
•	Auxílio creche (crianças de até 4 anos);
•	Seguro de Vida;
•	Plano Academia – Gympass;
•	Convênio SESC;
•	Vale Transporte;
•	Trilha de Carreira.
Ferramentas de Trabalho:
•	Celular corporativo
•	Veículo da Cia (carro ou moto)
•	EPI (Equipamentos de Proteção Individual)
*As ferramentas acima são para uso exclusivo da operação logística.
Aqui na Stone Co., valorizamos a diversidade e a inclusão, e procuramos as melhores
pessoas para nos ajudar a melhorar a vida do empreendedor brasileiro. Então, não
importa sua cor, gênero, etnia, religião, idade, ou se é um profissional com deficiência
ou LGBTQI+... Nosso sonho é do tamanho do universo e, se você se identifica com o
nosso propósito, venha construí-lo com a gente!

Outros requisitos: REQUISITOS E QUALIFICAÇÕES
•	CNH A (Moto) ativa por pelo menos 2 anos;
•	Ensino Médio completo.
Desejável/Diferenciais:
•	Técnico ou Ensino Superior cursando ou completo em Logística, Administração, Engenharias e afins;
•	Experiência com atendimento ao cliente;
•	Experiência com Logística;
•	Excel intermediário/avançado."
